"","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","Start_Hour","Start_Minute","Start_Year","Start_Month","Start_Day","End_Hour","End_Minute","End_Year","End_Month","End_Day"
"111",2019-04-03 15:20:24,2019-04-03 15:27:29,"IP Address","174.193.160.161","100","424","TRUE",2019-04-03 15:27:30,"R_3hoRRqWeqB2mMql","15","20","2019","04","03","15","27","2019","04","03"
"112",2019-04-03 15:23:23,2019-04-03 15:28:53,"IP Address","204.145.248.2","100","329","TRUE",2019-04-03 15:28:54,"R_26fYYXyInJAoGbr","15","23","2019","04","03","15","28","2019","04","03"
"113",2019-04-03 15:19:37,2019-04-03 15:31:09,"IP Address","98.169.56.13","100","692","TRUE",2019-04-03 15:31:16,"R_3M5q9soPCfEjMNK","15","19","2019","04","03","15","31","2019","04","03"
"114",2019-04-03 15:25:52,2019-04-03 15:32:59,"IP Address","68.0.199.96","100","426","TRUE",2019-04-03 15:33:35,"R_2uJJyJktTlp10k5","15","25","2019","04","03","15","32","2019","04","03"
"115",2019-04-03 15:30:19,2019-04-03 15:37:26,"IP Address","72.227.92.249","100","426","TRUE",2019-04-03 15:37:27,"R_1IK6k1a0bilrsWl","15","30","2019","04","03","15","37","2019","04","03"
"116",2019-04-03 15:35:47,2019-04-03 15:42:22,"IP Address","12.205.203.131","100","394","TRUE",2019-04-03 15:42:23,"R_1C1671WwO3nKlcJ","15","35","2019","04","03","15","42","2019","04","03"
"117",2019-04-03 15:41:14,2019-04-03 15:45:44,"IP Address","128.147.28.1","100","269","TRUE",2019-04-03 15:45:45,"R_1jjIeeDOhJ1N4li","15","41","2019","04","03","15","45","2019","04","03"
"118",2019-04-03 15:40:06,2019-04-03 15:46:33,"IP Address","174.196.137.194","100","386","TRUE",2019-04-03 15:46:34,"R_xzkQKNNZmb6hJG9","15","40","2019","04","03","15","46","2019","04","03"
"119",2019-04-03 15:41:30,2019-04-03 15:47:32,"IP Address","167.66.32.10","100","361","TRUE",2019-04-03 15:47:33,"R_2RRlTI07FhZZwYX","15","41","2019","04","03","15","47","2019","04","03"
"120",2019-04-03 15:45:39,2019-04-03 15:52:15,"IP Address","198.217.64.23","100","396","TRUE",2019-04-03 15:52:17,"R_SNnl5Dkt6pUS12N","15","45","2019","04","03","15","52","2019","04","03"
"121",2019-04-03 15:44:32,2019-04-03 15:52:29,"IP Address","204.60.184.1","100","476","TRUE",2019-04-03 15:52:30,"R_3KPXJood2quB2Lz","15","44","2019","04","03","15","52","2019","04","03"
"122",2019-04-03 16:00:26,2019-04-03 16:10:17,"IP Address","66.31.86.104","100","591","TRUE",2019-04-03 16:10:18,"R_yjzslnCTqwL1RQd","16","00","2019","04","03","16","10","2019","04","03"
"123",2019-04-03 16:08:21,2019-04-03 16:15:05,"IP Address","68.191.32.133","100","403","TRUE",2019-04-03 16:15:06,"R_3sv5eteMoe4REww","16","08","2019","04","03","16","15","2019","04","03"
"124",2019-04-03 13:48:01,2019-04-03 16:18:36,"IP Address","204.69.148.225","100","9034","TRUE",2019-04-03 16:18:37,"R_3g0XmrW5LcK18HB","13","48","2019","04","03","16","18","2019","04","03"
"125",2019-04-03 16:23:51,2019-04-03 16:30:06,"IP Address","146.79.254.10","100","374","TRUE",2019-04-03 16:30:07,"R_4UUjdSvA7nQiIh3","16","23","2019","04","03","16","30","2019","04","03"
"126",2019-04-03 13:04:15,2019-04-03 16:34:44,"IP Address","74.75.224.109","100","12628","TRUE",2019-04-03 16:34:45,"R_3J9RbTDrlwQZQxM","13","04","2019","04","03","16","34","2019","04","03"
"127",2019-04-03 16:30:34,2019-04-03 16:35:32,"IP Address","174.193.128.170","100","298","TRUE",2019-04-03 16:35:33,"R_ekyiYFO6nROlyCd","16","30","2019","04","03","16","35","2019","04","03"
